Date;Catégorie;Titre;Réalisateur;Animateurs;Résumé;Lien Youtube
29/01/95;Espace – Astronomie;Homo Orbitus : comment aller dans l'espace et y vivre?;Catherine Breton ;Fred et Jamy ;Fred suit un entraînement à l'Euro Space Center en Belgique. Une piscine et une chaise pour s'imaginer en état d'apesanteur, une chaise multi-axes pour se croire en train de travailler dans l'espace, ou encore un drôle de fauteuil pour effectuer une sortie virtuelle dans l'espace... ? Pour aller dans l'espace, Fred s'exerce à des simulations peu banales. Il va même s'entraîner au pilotage d'une navette spatiale ! Qu'est-ce que l'espace ? Et la mise en orbite ? Comment peut-on échapper à l'attraction terrestre ? Comment le moteur d'une fusée fonctionne-t-il ? Qu'est-ce que l'apesanteur et la pesanteur ? Quelles sont les conséquences de l'impesanteur sur le corps humain ?;https://youtu.be/Q7ejPDG1wqA
28/05/95;Espace – Astronomie;Pleins feux sur le système solaire;Franck Chaudemanche ;Fred et Jamy ;Le camion de C'est pas sorcier  prend la route des étoiles direction l'observatoire du Pic du Midi dans les Pyrénées pour un tour d'horizon de la voûte céleste. Depuis l'observatoire le plus haut de France, Fred se promène dans le ciel et fait la lumière sur tout ce qui brille au-dessus de nos têtes (étoiles, planètes, comètes...). L'oeil rivé sur un coronographe, il observe la couronne du soleil. Grâce à un télescope, il suit la planète Mars dans la constellation du Lion ou encore un ouragan sur la planète Jupiter.;https://youtu.be/L029mQsKlxM
21/09/97;Espace – Astronomie;Les satellites;Catherine Breton ;Fred et Jamy ;Fred et Jamy nous emmènent au  CNES et MATRA ESPACE à Toulouse pour tout connaître sur la conception et les différentes fonctions des satellites. Nous le suivrons dans la salle blanche chez MATRA ESPACE, où l'on découvre la construction d'un satellite d'observation. Puis nous irons au laboratoire thermique du CNES pour assister aux tests que subit un satellite avant son lancement, notamment à l'ouverture de ses panneaux. Jamy nous expliquera où commence l'espace, où circulent les satellites, comment mettre un satellite en orbite géostationnaire etc;https://youtu.be/NMXLmBGiL7M
26/10/97;Espace – Astronomie;La tête dans les étoiles;Sophie Thomas-Gérard ;Fred et Jamy ;Fred et Jamy scrutent l'univers à partir de l'Observatoire de Haute-Provence et nous parlent des étoiles, galaxies, constellations, supernovas et des nébuleuses. Nous pénétrerons dans la salle du grand téléscope réservé aux professionnels de l'astronomie. En compagnie d'astronomes amateurs, nous essaierons de trouver les constellations avec un téléscope et une carte du ciel. Jamy nous expliquera pourquoi on a l'impression que les étoiles se déplacent dans le ciel, et pourquoi on ne les voie que la nuit. Il nous dira ce qu'est la voie lactée, comment naît et meurt une étoile.;https://youtu.be/FbK-FPwSAFQ
23/11/97;Espace – Astronomie;Dans la ligne de Mir;Catherine Breton ;Fred et Jamy ;Nous suivons Fred à l'intérieur de la maquette de la station MIR, qui sert à la préparation des cosmonautes pour mener des expériences scientifiques et des observations de la Terre. Nous irons également à la Cité de l'Espace, où Fred prendra place à bord de la capsule de Soyouz, puis au CNES pour parler du déroulement des missions à bord de la station spatiale. Jamy nous expliquera où se situe MIR dans l'espace, sur quelle orbite elle est placée, comment le vaisseau Soyouz s'amarre à MIR et comment les cosmonautes reviennent sur terre.;https://youtu.be/1KUM0jnzY60
06/12/98;Espace – Astronomie;Le port spatial de Kourou;Franck Chaudemanche ;Fred et Jamy ;C'est d'ici que partent les lanceurs européens Ariane 4 et Ariane 5. Sa position, près de l'équateur et sur la côte Est de l'Amérique latine en fait le meilleur site de lancement actuel. On peut tirer dans toutes les directions Après un survol de la Guyane, Fred nous emmène découvrir le CSG. Construit en 1968, le site de Kourou s'étend sur 900 km².  Comprises entre le Nord et l'Est, et donc lancer tous les types de satellites. Fred nous guide à travers les différentes installations du centre. Nous découvrirons les ensembles de lancement Ariane 4 et Ariane 5. Les différentes installations du port spatial. Pourquoi est il avantageux d'avoir une base de lancement proche de l'équateur ?;https://youtu.be/Zx0GwQFeRk8
13/12/98;Espace – Astronomie;Ariane V;Franck Chaudemanche ;Fred et Jamy ;Après avoir découvert la Guyane et les installations du Centre Spatial Guyanais (CSG) , Fred et Jamy restent à Kourou pour nous présenter le nouveau lanceur européen Ariane 5.  Avec Fred et Jamy nous allons suivre toute la campagne de lancement d'Ariane 5 et  découvrir l'anatomie de cette fusée de 750 tonnes. Nous verrons comment fonctionnent les différents étages : les boosters à poudre, l'étage principal cryotechnique avec son moteur vulcain... Puis depuis la salle Jupiter, nous assisterons au compte à rebours et au lancement de la fusée,  jusque la mise en orbite des satellites. Qu'elle est la mission d'un lanceur ? Le principe de propulsion d'une fusée : action - réaction. Le fonctionnement d'un moteur fusée à hydrogène. Pourquoi un lanceur est composé de plusieurs étages ? Comment détruire une fusée en vol en cas d'anomalie ?;https://youtu.be/NVj0WzlPVV8
07/03/99;Espace – Astronomie;La vie extraterrestre;Catherine Breton ;Fred et Jamy ;Nous savons désormais que notre Soleil est une étoile très ordinaire. L'Univers est immense et notre bonne vieille Terre reste la seule planète habitée connue. Depuis plusieurs décennies, les scientifiques cherchent les traces d'une vie extraterrestre et se posent très sérieusement cette question : y a-t-il de la vie ailleurs, ou sommes nous seuls dans l'Univers ? Fred et Jamy nous offrent les clés qui nous aideront à nous poser les bonnes questions, sans tomber dans les excès que suscite souvent ce thème.;https://youtu.be/QP-NLaHRES0
31/10/99;Espace – Astronomie;Les sorciers décrochent la Lune ;Étienne Toussaint ;Fred et Jamy ;INDISPO;INDISPO
29/04/01;Espace – Astronomie;Le vol en impesanteur;Christophe Renon ;Fred et Jamy ;Dans l'univers, tous les corps s'attirent : c'est la gravitation. Pourquoi ne pèse-t-on plus rien quand on est en impesanteur ? Les spationautes et leur vaisseau chutent sans cesse autour de la Terre. Pourquoi ne s'écrasent-ils pas ? Pourquoi est-on désorienté et a-t-on du mal à contrôler nos mouvements lorsque l'on est en impesanteur ? Fred a suivi un petit entraînement pour devenir astronaute. L'occasion pour Jamy de nous offrir quelques éclaircissements sur l'impesanteur et de nous présenter l'ISS, la future station spatiale internationale qui, d'ici 2006, devrait avoir remplacé la défunte MIR.;https://youtu.be/1ZhlWS89cGs
